HCPCS/Modifier Code	Type of Change
S9986	No change
S9988	No change
S9989	No change
S9990	No change
S9991	No change
S9992	No change
S9994	No change
S9996	No change
S9999	No change
SA	No change
SB	No change
SC	No change
SD	No change
SE	No change
SF	No change
SG	No change
SH	No change
SJ	No change
SK	No change
SL	No change
SM	No change
SN	No change
SQ	No change
SS	No change
ST	No change
SU	No change
SV	No change
SW	No change
SY	No change
SZ	No change
T1	No change
T1000	No change
T1001	No change
T1002	No change
T1003	No change
T1004	No change
T1005	No change
T1006	No change
T1007	No change
T1009	No change
T1010	No change
T1012	No change
T1013	No change
T1014	No change
T1015	No change
T1016	No change
T1017	No change
T1018	No change
T1019	No change
T1020	No change
T1021	No change
T1022	No change
T1023	No change
T1024	No change
T1025	No change
T1026	No change
T1027	No change
T1028	No change
T1029	No change
T1030	No change
T1031	No change
T1502	No change
T1503	No change
T1505	No change
T1999	No change
T2	No change
T2001	No change
T2002	No change
T2003	No change
T2004	No change
T2005	No change
T2007	No change
T2010	No change
T2011	No change
T2012	No change
T2013	No change
T2014	No change
T2015	No change
T2016	No change
T2017	No change
T2018	No change
T2019	No change
T2020	No change
T2021	No change
T2022	No change
T2023	No change
T2024	No change
T2025	No change
T2026	No change
T2027	No change
T2028	No change
T2029	No change
T2030	No change
T2031	No change
T2032	No change
T2033	No change
T2034	No change
T2035	No change
T2036	No change
T2037	No change
T2038	No change
T2039	No change
T2040	No change
T2041	No change
T2042	No change
T2043	No change
T2044	No change
T2045	No change
T2046	No change
T2048	No change
T2049	No change
T2101	No change
T3	No change
T4	No change
T4521	No change
T4522	No change
T4523	No change
T4524	No change
T4525	No change
T4526	No change
T4527	No change
T4528	No change
T4529	No change
T4530	No change
T4531	No change
T4532	No change
T4533	No change
T4534	No change
T4535	No change
T4536	No change
T4537	No change
T4538	No change
T4539	No change
T4540	No change
T4541	No change
T4542	No change
T4543	No change
T4544	No change
T5	No change
T5001	No change
T5999	No change
T6	No change
T7	No change
T8	No change
T9	No change
TA	No change
TC	No change
TD	No change
TE	No change
TF	No change
TG	No change
TH	No change
TJ	No change
TK	No change
TL	No change
TM	No change
TN	No change
TP	No change
TQ	No change
TR	No change
TS	No change
TT	No change
TU	No change
TV	No change
TW	No change
U1	No change
U2	No change
U3	No change
U4	No change
U5	No change
U6	No change
U7	No change
U8	No change
U9	No change
UA	No change
UB	No change
UC	No change
UD	No change
UE	No change
UF	No change
UG	No change
UH	No change
UJ	No change
UK	No change
UN	No change
UP	No change
UQ	No change
UR	No change
US	No change
V2020	No change
V2025	No change
V2100	No change
V2101	No change
V2102	No change
V2103	No change
V2104	No change
V2105	No change
V2106	No change
V2107	No change
V2108	No change
V2109	No change
V2110	No change
V2111	No change
V2112	No change
V2113	No change
V2114	No change
V2115	No change
V2118	No change
V2121	No change
V2199	No change
V2200	No change
V2201	No change
V2202	No change
V2203	No change
V2204	No change
V2205	No change
V2206	No change
V2207	No change
V2208	No change
V2209	No change
V2210	No change
V2211	No change
V2212	No change
V2213	No change
V2214	No change
V2215	No change
V2218	No change
V2219	No change
V2220	No change
V2221	No change
V2299	No change
V2300	No change
V2301	No change
V2302	No change
V2303	No change
V2304	No change
V2305	No change
V2306	No change
V2307	No change
V2308	No change
V2309	No change
V2310	No change
V2311	No change
V2312	No change
V2313	No change
V2314	No change
V2315	No change
V2318	No change
V2319	No change
V2320	No change
V2321	No change
V2399	No change
V2410	No change
V2430	No change
V2499	No change
V2500	No change
V2501	No change
V2502	No change
V2503	No change
V2510	No change
V2511	No change
V2512	No change
V2513	No change
V2520	No change
V2521	No change
V2522	No change
V2523	No change
V2530	No change
V2531	No change
V2599	No change
V2600	No change
V2610	No change
V2615	No change
V2623	No change
V2624	No change
V2625	No change
V2626	No change
V2627	No change
V2628	No change
V2629	No change
V2630	No change
V2631	No change
V2632	No change
V2700	No change
V2702	No change
V2710	No change
V2715	No change
V2718	No change
V2730	No change
V2744	No change
V2745	No change
V2750	No change
V2755	No change
V2756	No change
V2760	No change
V2761	No change
V2762	No change
V2770	No change
V2780	No change
V2781	No change
V2782	No change
V2783	No change
V2784	No change
V2785	No change
V2786	No change
V2787	No change
V2788	No change
V2790	No change
V2797	No change
V2799	No change
V5	No change
V5008	No change
V5010	No change
V5011	No change
V5014	No change
V5020	No change
V5030	No change
V5040	No change
V5050	No change
V5060	No change
V5070	No change
V5080	No change
V5090	No change
V5095	No change
V5100	No change
V5110	No change
V5120	No change
V5130	No change
V5140	No change
V5150	No change
V5160	No change
V5170	No change
V5180	No change
V5190	No change
V5200	No change
V5210	No change
V5220	No change
V5230	No change
V5240	No change
V5241	No change
V5242	No change
V5243	No change
V5244	No change
V5245	No change
V5246	No change
V5247	No change
V5248	No change
V5249	No change
V5250	No change
V5251	No change
V5252	No change
V5253	No change
V5254	No change
V5255	No change
V5256	No change
V5257	No change
V5258	No change
V5259	No change
V5260	No change
V5261	No change
V5262	No change
V5263	No change
V5264	No change
V5265	No change
V5266	No change
V5267	No change
V5268	No change
V5269	No change
V5270	No change
V5271	No change
V5272	No change
V5273	No change
V5274	No change
V5275	No change
V5281	No change
V5282	No change
V5283	No change
V5284	No change
V5285	No change
V5286	No change
V5287	No change
V5288	No change
V5289	No change
V5290	No change
V5298	No change
V5299	No change
V5336	No change
V5362	No change
V5363	No change
V5364	No change
V6	No change
V7	No change
V8	No change
V9	No change
VP	No change
XE	No change
XP	No change
XS	No change
XU	No change
ZA	Add
